poa_code,postcode,census_population,census_median_age,census_median_household_income_weekly,census_avg_household_size,census_couple_no_children_families,census_couple_with_children_families,census_single_parent_families,census_other_families,census_total_families,census_employed_persons,census_unemployed_persons,census_labour_force,census_not_in_labour_force,census_labour_status_not_stated,census_population_15plus,census_family_households,census_lone_person_households,census_group_households,census_total_households,census_source_year,census_couple_families,census_employment_to_population_ratio,census_unemployment_rate,census_labour_force_participation_rate,census_couple_no_children_family_share,census_couple_with_children_family_share,census_couple_family_share,census_single_parent_family_share,census_family_household_share,census_lone_person_household_share,census_group_household_share,census_small_population,census_small_labour_force,census_small_families,census_small_households,census_nonpositive_household_income,census_zero_population,census_any_feature_missing,census_ratio_quality_issue
POA0800,0800,7149.0,33.0,2151.0,2.0,979.0,399.0,132.0,47.0,1557.0,4794.0,165.0,4964.0,783.0,792.0,6545.0,1535.0,1146.0,304.0,2984.0,2021,1378.0,0.7324675324675325,0.03323932312651088,0.7584415584415585,0.6287732819524727,0.25626204238921,0.8850353243416827,0.08477842003853564,0.5144101876675603,0.38404825737265413,0.10187667560321716,False,False,False,False,False,False,False,False
POA0810,0810,34330.0,34.0,2199.0,2.7,2982.0,4058.0,1333.0,176.0,8553.0,18270.0,788.0,19056.0,6308.0,1985.0,27348.0,8248.0,2677.0,712.0,11637.0,2021,7040.0,0.6680561649846424,0.04135180520570949,0.6967968407196139,0.34864959663276046,0.4744534081608792,0.8231030047936396,0.15585174792470477,0.7087737389361519,0.2300421070722695,0.06118415399157859,False,False,False,False,False,False,False,False
POA0812,0812,18634.0,37.0,2046.0,2.8,1581.0,2174.0,969.0,89.0,4811.0,8975.0,497.0,9470.0,3867.0,1222.0,14558.0,4639.0,1315.0,261.0,6211.0,2021,3755.0,0.6164995191647205,0.05248152059134108,0.6505014425058387,0.3286219081272085,0.45188110579921015,0.7805030139264186,0.20141342756183744,0.7469006601191435,0.21172113991305747,0.042022218644340685,False,False,False,False,False,False,False,False
POA0820,0820,19920.0,35.0,2308.0,2.4,2239.0,1949.0,637.0,79.0,4903.0,12004.0,406.0,12409.0,2972.0,1437.0,16811.0,4801.0,2114.0,668.0,7581.0,2021,4188.0,0.7140562726786033,0.03271818841163671,0.7381476414252572,0.45665918825209056,0.39751172751376707,0.8541709157658577,0.12992045686314502,0.6332937607175835,0.2788550323176362,0.08811502440311304,False,False,False,False,False,False,False,False
POA0822,0822,25304.0,30.0,1347.0,3.8,1565.0,2659.0,1422.0,193.0,5840.0,6214.0,1362.0,7581.0,10219.0,1779.0,19575.0,4389.0,885.0,129.0,5402.0,2021,4224.0,0.31744572158365264,0.17965967550455086,0.38727969348659,0.2679794520547945,0.4553082191780822,0.7232876712328767,0.24349315068493152,0.8124768604220659,0.16382821177341725,0.023880044427989633,False,False,False,False,False,False,False,False
POA0828,0828,1697.0,33.0,2250.0,2.9,107.0,173.0,41.0,8.0,337.0,781.0,47.0,824.0,345.0,179.0,1353.0,327.0,78.0,17.0,421.0,2021,280.0,0.5772357723577236,0.05703883495145631,0.6090169992609017,0.31750741839762614,0.5133531157270029,0.8308605341246291,0.12166172106824925,0.7767220902612827,0.18527315914489312,0.040380047505938245,False,False,False,False,False,False,False,False
POA0829,0829,1963.0,31.0,1412.0,2.0,45.0,18.0,8.0,0.0,67.0,645.0,7.0,654.0,1180.0,84.0,1919.0,69.0,43.0,0.0,108.0,2021,63.0,0.33611255862428346,0.010703363914373088,0.34080250130276185,0.6716417910447762,0.26865671641791045,0.9402985074626866,0.11940298507462686,0.6388888888888888,0.39814814814814814,0.0,False,False,False,False,False,False,False,False
POA0830,0830,18501.0,33.0,2027.0,2.7,1483.0,2052.0,1025.0,69.0,4634.0,9013.0,496.0,9510.0,3013.0,1526.0,14046.0,4499.0,1441.0,250.0,6194.0,2021,3535.0,0.641677345863591,0.05215562565720294,0.6770610850064075,0.3200258955545965,0.4428139835994821,0.7628398791540786,0.2211911955114372,0.7263480787859219,0.23264449467226347,0.04036164029706167,False,False,False,False,False,False,False,False
POA0832,0832,18727.0,30.0,2352.0,2.9,1426.0,2546.0,835.0,57.0,4865.0,10239.0,349.0,10589.0,2105.0,1082.0,13774.0,4758.0,1105.0,254.0,6116.0,2021,3972.0,0.7433570495135763,0.03295873075833412,0.768767242631044,0.29311408016443985,0.5233299075025694,0.8164439876670092,0.17163412127440905,0.7779594506213211,0.18067364290385873,0.04153041203400916,False,False,False,False,False,False,False,False
POA0834,0834,1811.0,43.0,2678.0,2.9,204.0,224.0,58.0,3.0,496.0,1003.0,49.0,1055.0,327.0,116.0,1496.0,464.0,103.0,22.0,590.0,2021,428.0,0.6704545454545454,0.046445497630331754,0.7052139037433155,0.4112903225806452,0.45161290322580644,0.8629032258064516,0.11693548387096774,0.7864406779661017,0.17457627118644067,0.03728813559322034,False,False,False,False,False,False,False,False
POA0835,0835,3153.0,43.0,2560.0,2.9,362.0,401.0,91.0,5.0,867.0,1707.0,66.0,1773.0,620.0,200.0,2596.0,819.0,161.0,35.0,1016.0,2021,763.0,0.6575500770416025,0.03722504230118443,0.6829738058551618,0.41753171856978083,0.46251441753171857,0.8800461361014994,0.104959630911188,0.8061023622047244,0.15846456692913385,0.0344488188976378,False,False,False,False,False,False,False,False
